Skill,Turkce_Skill
MS VC++,MS VC++
Time sheets,Zaman çizelgesi
Test rigs,Test düzenekleri
Admissions,Kabul
Business intelligence,İş zekası
Etl developer,Etl geliştiricisi
Jdbc,Jdbc
Frontend programmer,Önyüz programcısı
Tasktracker,Görev izleyicisi
Astrophysics,Astrofizik
Markets,Piyasalar
International call centre,Uluslararası çağrı merkezi
Survey design,Anket tasarımı
Power mate,Power mate
Blast furnace,Yüksek fırın
Web crawling,Web taraması
Asp .net mvc,Asp .net mvc
Sales event,Satış etkinliği
Db2,Db2
Web scale,Web ölçeği
Google search appliance,Google arama cihazı
Embedded c,Embedded c
Hmc machine operator,Hmc makine operatörü
Uxd,Uxd
Need min 1 year exp,Need min 1 year exp
Brand awareness,Marka bilinirliği
Technical product management,Teknik ürün yönetimi
Mobile gaming,Mobil oyun
Options,Opsiyonlar
Ecc,Ecc
Field engineering,Saha mühendisliği
Account management,Hesap yönetimi
Penetration testing,Penetrasyon testi
Approval,Onay
Hrd,Hrd
Css3,Css3
Reference data,Referans verisi
Play store,Play store
Data architecture,Veri mimarisi
Mdx,Mdx
C3i,C3i
Export documentation,İhracat belgeleri
Ndc,Ndc
Manual testing,Manuel test
Llb,Llb
Windchil,Windchil
Out bound sales,Dışa yönelik satış
Commodity,Emtiya
Protocols,Protokoller
Hotels,Oteller
Oracle,Oracle
Positive attitude,Olumlu tutum
Online retail,Çevrimiçi perakende
MS Excel Pivot Tables,MS Excel Pivot Tablolar
Project management skills,Proje yönetimi becerileri
Senior manager,Kıdemli yönetici
Contracts,Sözleşmeler
Generators,Jeneratörler
Export,İhracat
Region finance manager,Bölge finans yöneticisi
Client aquisition,Müşteri kazanımı
Rf design,Rf tasarımı
Gpon,Gpon
Engineering,Mühendislik
Business model,İş modeli
Telecommunications,Telekomünikasyon
Data integrity,Veri bütünlüğü
Power optimizer,Güç optimizasyonu
Client servicing,Müşteri hizmetleri
Travel desk,Seyahat masası
K2 blackpearl,K2 blackpearl
Mp3,Mp3
Apple,Apple
Exit formalities,Çıkış formaliteleri
E-learning,E-öğrenme
Electronic security,Elektronik güvenlik
Bpoo - payroll,Bpoo - bordro
Vi,Vi
Financial reporting,Finansal raporlama
Report development,Rapor geliştirme
Experience design,Deneyim tasarımı
Case report form,Vaka raporu formu
Debtors,Borçlular
Team,Takım
Arbitaration,Tahkim
Fadv,Fadv
Oracle adf,Oracle adf
Color management,Renk yönetimi
System verilog,System verilog
Woven garments,Dokuma giyim
Domino server,Domino server
Websphere application servers,Websphere application servers
App developer,Uygulama geliştiricisi
Stock audit,Stok denetimi
Succession planning,Ardıl planlama
Marketing management,Pazarlama yönetimi
High voltage,Yüksek gerilim
Reg affairs,Reg affairs
Hedis,Hedis
I2c,I2c
Lms administration,Lms yönetimi
Transfer agency,Transfer acentesi
Tealeaf,Tealeaf
Oracle policy automation,Oracle policy automation
Media planning,Medya planlaması
Ethernet,Ethernet
Ads,Ads
Post sale,Satış sonrası
Payment systems,Ödeme sistemleri
Ccna,Ccna
Business writing,İş yazışması
Segmentation,Segmentasyon
Vr,Vr
Luxury sales,Lüks satış
School,Okul
International call center,Uluslararası çağrı merkezi
Pig,Pig
Microstation,Microstation
Voice,Ses
Medical equipment,Tıbbi ekipman
Copy writing,Kopya yazımı
V&amp;a trainer,V&amp;a trainer
Mep,Mep
Investment research,Yatırım araştırması
It strategy,BT stratejisi
Transceivers,Transceivers
Stability analysis,Kararlılık analizi
Equipment maintenance,Ekipman bakımı
Compliance risk assessment,Uyum risk değerlendirmesi
Process quality,Süreç kalitesi
Jobs,İşler
Export house,İhracat firması
Juniper,Juniper
Client interaction,Müşteri etkileşimi
Sglp,Sglp
Time series,Zaman serisi
Dispute resolution,Anlaşmazlık çözümü
Internal audit,İç denetim
Smpt,Smpt
Telugu,Telugu
Electronics manufacturing,Elektronik üretimi
Net vb net,Net vb net
Clinical contract,Klinik sözleşmesi
Direct marketing sales,Direkt pazarlama satışı
Data center,Veri merkezi
Web content writing,Web içerik yazımı
Parallel,Parallel
Javafx,Javafx
Management operations,Yönetim operasyonları
Online promotion,Çevrimiçi promosyon
Technical skills - microsoft technologies - .net,Teknik beceriler - microsoft teknolojileri - .net
Solving queries,Sorgu çözümü
Contract drafting,Sözleşme taslağı
Cardiac surgeon,Kalp cerrahı
Stock broking,Hisse senedi simsarlığı
Fixture,Fixture
Product management,Ürün yönetimi
MS CRM 2011,MS CRM 2011
Tax,Vergi
It recruitement,BT işe alımı
Ui developer,Kullanıcı arayüzü geliştiricisi
Oracle discoverer,Oracle discoverer
Jquery mobile,Jquery mobile
Fire safety,Yangın güvenliği
Adobe flash,Adobe flash
Installation,Kurulum
Product manual testing,Ürün manuel testi
Web portals,Web portalları
Jsp servlet,Jsp servlet
Microstrategy,Microstrategy
Accounting software,Muhasebe yazılımı
Rich internet application,Zengin internet uygulaması
Analog,Analog
Oops concepts,Nesne yönelimli programlama kavramları
Sd module,Sd modülü
Business development manager (web),İş geliştirme yöneticisi (web)
Technical writing,Teknik yazı
Remote direct memory access,Remote direct memory access
Customer experience,Müşteri deneyimi
Objective - c,Objective - c
Sis panel engineering,Sis panel mühendisliği
Partnership,Ortaklık
Switches,Switches
Collections,Koleksiyonlar
Project sales,Proje satışı
Equity research analyst,Özkaynak araştırma analisti
Officer - exports,Subay - ihracat
Sql tuning,Sql ayarı
Cardiology,Kardiyoloji
Mechanics,Mekanik
Jobs in non voice process,Ses dışı süreçteki işler
Procurement management,Tedarik yönetimi
Classic asp,Classic asp
Networking protocols,Ağ protokolleri
Math,Matematik
Customer relations,Müşteri ilişkileri
Administrative assistant,İdari asistan
Soc encounter,Toplumsal karşılaşma
Windchill,Windchill
In memory grids,Hafızadaki gridler
Captivate,Captivate
C++,C++
Disaster management,Felaket yönetimi
Motor insurance sales,Motor sigorta satışı
Sales head,Satış başkanı
Simulation software,Simülasyon yazılımı
Ics,Ics
Accountability,Hesap verebilirlik
MS Axapta,MS Axapta
Contracts manager,Sözleşme yöneticisi
Team leader ped,PED takım lideri
Pxe,Pxe
End-point,Uç nokta
Software management,Yazılım yönetimi
Peb,Peb
General insurance sales,Genel sigorta satışı
Trade support,Ticaret desteği
Home tutor,Evde öğretmen
Adobe,Adobe
Break/fix,Kır/fix
Visualization,Görselleştirme
Selling or finance,Satış veya finans
Vulnerability scanning,Güvenlik açığı taraması
Employee satisfaction,Çalışan memnuniyeti
Hotel management,Otel yönetimi
Structural engineering,Yapısal mühendislik
Intermediates,Ara ürünler
Lamination,Laminasyon
In design,In design
Cost saving,Maliyet tasarrufu
SIG,SIG
Bhms,Bhms
Technologies,Teknolojiler
Adobe air,Adobe air
Case report forms,Vaka raporu formları
Package,Paket
Maintenance,Bakım
Housekeeping,Ev hizmetleri
Negotiations,Müzakere
Iis laptop,Iis laptop
Cutting tools,Kesme takımları
Front office trading,Ön ofis ticareti
Freight,Navlun
Fpga,Fpga
Inbound voice process,Gelen ses süreci
Ar process,Ar süreci
Project finance modeling,Proje finans modeli
Report creation,Rapor oluşturma
Conversion optimization,Dönüşüm optimizasyonu
Telesales executive,Telesatış yöneticisi
Adobe cq 5.6 architect,Adobe cq 5.6 architect
Shredders,Shredders
Solution designing,Çözüm tasarımı
Print book sales training,Basılı kitap satış eğitimi
Grass,Grass
Senior steward,Kıdemli katipler
Buyers handling,Alıcıların yönetimi
Capital market,Sermaye piyasası
Industrial training institute,Endüstriyel eğitim enstitüsü
Rsync,Rsync
MRV,MRV
Retail business,Perakende ticareti
Gpo,Gpo
Ad sales,Reklam satışları
Implementation management,Uygulama yönetimi
Facility management,Tesis yönetimi
Hipaa,Hipaa
Text mining,Metin madenciliği
Editor,Editör
Planning skills,Planlama becerileri
Telephone exchange,Telefon santrali
Senior analyst,equity research: Kıdemli analist: hisse araştırması
Sales accounting,Satış muhasebesi
Rfq,Rfq
Analtics,Analitik
Hadoop,Hadoop
Educational marketing,Eğitim pazarlaması
Voice coach,Ses eğitmeni
Customer care executive,Müşteri hizmetleri yöneticisi
Processing &amp; accounting claims,Processing &amp; accounting claims
Iron structures,Demir yapılar
Equity research,Hisse senedi araştırmaları
Research,Araştırma
Cooks,Aşçılar
Knowledge management,Bilgi yönetimi
Radio,Radyo
Open stack,Open stack
System audit,Sistem denetimi
Pair programming,Çift programlama
Windchill plm consultant,Windchill plm consultant
Report writing,Rapor yazımı
Manager mis,Yönetici mis
Customer service executive,Müşteri hizmetleri yöneticisi
Ios software engineer,Ios software engineer
Hadoop cluster,Hadoop cluster
Discoverer,Discoverer
Html5,Html5
Floor planning,Kat planlaması
Facilitation,Kolaylaştırma
Electrical maintenance,Elektrik bakımı
Code review,Kod incelemesi
Us accounting,ABD muhasebesi
Stock valuation,Hisse senedi değerlemesi
Display,Sergileme
Capacity,Kapasite
Java programming,java
Student activities,Öğrenci aktiviteleri
Stream processing,Akış işleme
Site manager,Şantiye şefi
Logistics,Lojistik
Objective-c,Objective-c
MRTG,MRTG
Women,Kadınlar
Maths tutor,Matematik öğretmeni
Office based,Ofis tabanlı
Ups,Ups
Standard operating procedures,Standart işletim prosedürleri
Dairy,Süt ürünleri
Systems modeling,Sistem modellemesi
Transfer pricing,Aktarım fiyatlandırması
Technical design,Teknik tasarım
Dns,Dns
Tranportation,Taşımacılık
Cap,Cap
Sharepoint designer,Sharepoint designer
Wire framing,Tel çerçeveleme
Product planning,Ürün planlaması
Legal research,Hukuk araştırmaları
Bank reconciliation,Banka mutabakatı
Car sales,Araba satışı
Edc,Edc
Php programmer laravel,Php programmer laravel
Space selling,Uzay satışı
Oracle projects,Oracle projects
Property &amp; casuality,Property &amp; casuality
Visa,Visa
Quotation,Teklif
Logistics management,Lojistik yönetimi
Labour compliances,İşgücü uyumu
Factory manager,Fabrika yöneticisi
Six sigma,Altı sigma
Compensation,Ücretlendirme
Sharepoint,Sharepoint
Microbiology jobs,Mikrobiyoloji işleri
Security operations center,Güvenlik operasyonları merkezi
Itgc,Itgc
Subversion,Subversion
It helpdesk support,Bilgi işlem yardım masası desteği
Process,İşlem
Bpo and call centre,BPO ve çağrı merkezi
Office 365 migration,Office 365 migration
Redis,Redis
Counsellor,Danışman
Electronics,Elektronik
Computer science,Bilgisayar bilimi
Security clearance,Güvenlik temizliği
Technical drafting,Teknik çizim
Benefits,Faydalar
Canadian shift,Kanada vardiyas
Qms,Kalite yönetim sistemi
Photogrammetry,Fotogrametri
Technical support,Teknik destek
Plant management,Fabrika yönetimi
MOF,MOF
Dvr,Dvr
Business administration,İşletme yönetimi
Client meeting,Müşteri toplantısı
Roi,Getiri oranı
Channel sales management,Kanal satış yönetimi
Home automation,Ev otomasyonu
Salary,Maaş
Client relationship management,Müşteri ilişkileri yönetimi
First line manager,Birinci kademe yönetici
Customer care,Müşteri hizmetleri
Vendor relationships,Satıcı ilişkileri
Software sales,Yazılım satışı
Decision-making,Karar verme
Ux develoer,Kullanıcı deneyimi geliştiricisi
Class level interfaces,Sınıf düzeyinde arayüzler
Urban design,Kentsel tasarım
Chart,Grafik
Balance sheet,Bilanço
Tax returns,Vergi iade talepleri
It recruiter and staffing,Bilgi işlem işgücü temini ve istihdamı
Health,Sağlık
Web services,Web servisleri
Real - time adherence,Gerçek zamanlı uyum
Sdn,Sdn
Grails,Grails
Nursing,Hemşirelik
Axure,Axure
Bulk drugs,Toplu ilaçlar
Nutrition&amp;dieteetics,Beslenme ve diyetetik
Inventory control,Stok kontrolü
Proto development,Proto geliştirme
Apis,Apis
Process executive,Proses yürütücüsü
Intergraph,Intergraph
Devices,Cihazlar
Customer relation,Müşteri ilişkileri
Transformation,Dönüşüm
E commerce,E ticaret
Sap charm,Sap charm
Building maintenance,Bina bakımı
Sla,Sla
Continuous monitoring,Sürekli izleme
Android developers,Android developers
Bicsi,Bicsi
Invoices,Faturalar
Trend analysis,Eğilim analizi
Rmc technology,Rmc technology
Customer support executive,Müşteri destek yürütücüsü
Process improvement initiatives,Süreç iyileştirme girişimleri
Oracle database9i,Oracle database9i
Iis storage,Iis storage
MOC,MOC
Best practices,En iyi uygulamalar
Mobile apps,Mobile apps
Software development,Yazılım geliştirme
Module,Modül
Traditional trade,Geleneksel ticaret
Operations support systems,Operasyon destek sistemleri
International ticketing,Uluslararası biletleme
Hr generalist activities,İK genel uzmanlık faaliyetleri
Science,Bilim
.net framework,.net framework
Portfolio,Portföy
Cluster monitoring,Küme izleme
Regional sales manager,Bölgesel satış müdürü
Operations management,Operasyon yönetimi
Oracle ascp,Oracle ascp
Hr analytics,İK analitiği
Field operations,Saha operasyonları
Biology,Biyoloji
Machine shop,Makine atölyesi
Englishdevelopment,İngilizce geliştirme
Mms,Mms
Presales,Satış öncesi
Groovy,Groovy
Business analytics,İş analitiği
Indian tax,Hint vergisi
Credit,Kredi
Tourism,Turizm
Cold calling,Soğuk arama
Proposal writing,Teklif yazma
Road map,Yol haritası
Dice,Dice
Soil testing,Toprak testi
Bdm corporate networking,Bdm kurumsal ağ oluşturma
Technical account,Teknik hesap
Branch banking,Şube bankacılığı
Software quality assurance,Yazılım kalite güvencesi
Cncsfanuc 3 - t,Cncsfanuc 3 - t
Customer acquisition,Müşteri kazanımı
Toad,Toad
Business development management,İş geliştirme yönetimi
Resource allocation,Kaynak tahsisi
Sr. sales associate,Kıdemli satış temsilcisi
Map reduce,Map reduce
Purchase entry,Satın alma girişi
T - sql,T - sql
Pricing routines,Fiyatlandırma rutinleri
Online production,Çevrimiçi üretim
Etworking protocols tcp,Etworking protocols tcp
Social media recruitment,Sosyal medya işe alımı
Corporate strategy,Kurumsal strateji
MMI,MMI
Peripherals,Çevre birimleri
Tehnical helpdesk,Teknik destek masası
Sap sales,Sap sales
Android prgrammer,Android prgrammer
Online maths teacher,Çevrimiçi matematik öğretmeni
Cad,Cad
B2b sales,B2b satış
Bank audit,Banka denetimi
Entity framework,Entity framework
Bdo,Bdo
Hive,Hive
Powerplay,Powerplay
Cellular receivers,Hücre alıcıları
Ilt,Ilt
Pharmaceutics,Farmasötik
Foreign exchange,Döviz
Chemistry,Kimya
Granite,Granit
Software product development,Yazılım ürün geliştirme
Equity analyst,Özkaynak analisti
Data analysts,Veri analisti
Press releases,Basın bültenleri
Ipma,Ipma
Financial operations,Finansal operasyonlar
Channel development,Kanal geliştirme
Ghs,Ghs
Carring forword agent,Taşıma ileri acentesi
Mumbai,Mumbai
Bpo jobs,Bpo işleri
Audit assignments,Denetim görevleri
Test data,Test verileri
Profit centre,Kâr merkezi
Netbeans,Netbeans
Mis reporting,Yönetim bilgi sistemi raporlaması
Erp selling,Erp satışı
Configuration,Yapılandırma
Territory manager,Bölge müdürü
B2b marketing,B2b pazarlama
Test planning,Test planlaması
Test,Test
Arts,Sanat
Ecmascript,Ecmascript
Consumer testing knowledge,Tüketici testi bilgisi
Business advisory,İş danışmanlığı
Integrated circuit,Entegre devre
Questaformal,Questaformal
Vpn installation,Vpn kurulumu
Campaign management,Kampanya yönetimi
Oracle hr,Oracle hr
Graphical user interface designing,Grafik kullanıcı arayüzü tasarımı
It security,BT güvenliği
MLOps,MLOps
Private equity,Özel sermaye
Digital asset management,Dijital varlık yönetimi
Talent management,Yetenek yönetimi
Denial management,Reddi yönetme
Plant operator,Tesis operatörü
Code reviews,Kod incelemeleri
Revenue generation,Gelir yaratma
Sap bi,Sap bi
Enovia core,Enovia core
Collection,Toplama
Studio,Stüdyo
Ich,Ich
Securities,Menkul kıymetler
Security controls,Güvenlik kontrolleri
Export documentation executive,İhracat dokümantasyon yürütücüsü
Oracle apps dba,Oracle apps dba
Bsms,Bsms
German accounts officer,Alman Muhasebeci
Articles,Makaleler
Document management,Belge Yönetimi
Exim,Exim
Programming,Programlama
Android app developer,Android Uygulama Geliştiricisi
Shares,Paylar
Ccnp routers,Ccnp routers
Compliance control,Uyum Kontrolü
Combproducts,Kombine Ürünler
Data loading,Veri Yükleme
Ibm cognos framework manager,Ibm cognos framework manager
Ews,Ews
Msc,Msc
Corporate credit banking,Kurumsal Kredi Bankacılığı
Internal control,Dahili Kontrol
Digital media,Dijital Medya
Web development,Web Geliştirme
Qip,Qip
Quality checking,Kalite Kontrolü
Tekla,Tekla
Program management,Program Yönetimi
Contract extraction,Sözleşme Çıkarımı
Network elements,Ağ Elemanları
Fullstack developer,Tam Yığın Geliştiricisi
Puc freshers,Puc freshers
Feedback,Geri Bildirim
Web design,Web Tasarımı
Mobile designing,Mobil Tasarım
Head sales,Satış Müdürü
Wcf data services,Wcf data services
Accounts and finance,Muhasebe ve Finans
Oracle apps technical,Oracle apps technical
Online researcher,Çevrimiçi Araştırmacı
Front end,Ön Uç
Views,Görünüm
O s,O s
Hr management system administration,İK Yönetim Sistemi Yönetimi
Imap,Imap
Recognition,Tanıma
Hr bdm,Hr bdm
Supply chain management,Tedarik Zinciri Yönetimi
Ultrasound,Ultrason
Technology - product manager,Teknoloji - Ürün Yöneticisi
Firewall administration,Güvenlik Duvarı Yönetimi
Aaa,Aaa
Invoicing,Fatura Kesme
Contingency plan,Beklenmedik Durum Planı
Room attendants,Oda Görevlileri
New business development,Yeni İş Geliştirme
Equity,Özkaynak
Fraud,Dolandırıcılık
Drives,Sürücüler
