Job Titles_En,Turkce_Meslek
VP of HR,İnsan Kaynakları Genel Müdür Yardımcısı
VP of Human Resources,İnsan Kaynakları Genel Müdür Yardımcısı
VP of IT,Bilgi Teknolojilerinden Sorumlu Genel Müdür Yardımcısı
VP of Marketing,Pazarlamadan Sorumlu Genel Müdür Yardımcısı
VP of Products,Ürünlerden Sorumlu Genel Müdür Yardımcısı
VP of Sales,Satıştan Sorumlu Genel Müdür Yardımcısı
VP of Technology,Teknolojiden Sorumlu Genel Müdür Yardımcısı
VR Consultant,VR Danışmanı
VR Designer,VR Tasarımcısı
VR Development Intern,VR Geliştirme Stajyeri
VR Hardware Engineer,VR Donanım Mühendisi
VR Researcher,VR Araştırmacısı
VR Specialist,VR Uzmanı
Vacation Student,Yaz Stajyeri
Vaccine Specialist,Aşı Uzmanı
Valet,Valet
Valet Attendant,Valet Görevlisi
Validation Engineer,Doğrulama Mühendisi
Validation Lead,Doğrulama Lideri
Validation Manager,Doğrulama Yöneticisi
Validation Specialist,Doğrulama Uzmanı
Valuation Analyst,Değerleme Analisti
Valuation Assistant,Değerleme Asistanı
Valuation Executive,Değerleme Yöneticisi
Valuation Officer,Değerleme Görevlisi
Valuations Manager,Değerlemelerden Sorumlu Yönetici
Value Stream Manager,Değer Akışı Yöneticisi
Valuer,Değerleyici
Van Driver,Kamyonet Sürücü
Vault Teller,Kasa Görevlisi
Vehicle Cleaner,Araç Temizleyici
Vehicle Dynamics Engineer,Araç Dinamiği Mühendisi
Vending Machine Host,Otomat Görevlisi
Vendor,Tedarikçi
Vendor Management,Tedarikçi Yönetimi
Vendor Manager,Tedarikçi Yöneticisi
Ventilation Specialist,Havalandırma Uzmanı
Venue Assistant,Mekan Asistanı
Verification Engineer,Doğrulama Mühendisi
Verification Specialist,Doğrulama Uzmanı
Verifier,Doğrulayıcı
Vessel Master,Gemi Kaptanı
Vet,Veteriner
Veterinarian,Veteriner Hekim
Veterinary Assistant,Veteriner Asistanı
Veterinary Officer,Veteriner Görevlisi
Veterinary Receptionist,Veteriner Resepsiyonisti
Veterinary Surgeon,Veteriner Hekim
Veterinary Technician,Veteriner Teknikeri
Vice President,Başkan Yardımcısı
Vice President Ebusiness,E-İş Başkan Yardımcısı
Vice President Equity,Hisse Senedi Başkan Yardımcısı
Vice President Finance,Finans Başkan Yardımcısı
Vice President Intellectual Property,Fikri Mülkiyet Başkan Yardımcısı
Vice President Marketing,Pazarlama Başkan Yardımcısı
Vice President Operations,Operasyon Başkan Yardımcısı
Vice President Sales Division,Satış Bölümü Başkan Yardımcısı
Vice President Sales Marketing,Satış ve Pazarlama Başkan Yardımcısı
Vice President of Business Development,İş Geliştirme Başkan Yardımcısı
Vice President of Ethics,Etik Başkan Yardımcısı
Vice President of Machine Learning,Makine Öğrenimi Başkan Yardımcısı
Vice President of Risk,Risk Başkan Yardımcısı
Vice President of Sales,Satış Başkan Yardımcısı
Vice President of Services,Hizmetler Başkan Yardımcısı
Video Content Creator,Video İçerik Oluşturucusu
Video Content Producer,Video İçerik Üreticisi
Video Creator,Video Oluşturucusu
Video Editor,Video Editörü
Video Producer,Video Üreticisi
Video Streamer,Canlı Video Yayıncısı
Videographer,Videograf
Village Level Entrepeneur,Köy Düzeyinde Girişimci
Virologist,Virüs Bilimcisi
Virtual Assistant,Sanal Asistan
Virtual Office Assistant,Sanal Ofis Asistanı
Virtual Reality Consultant,Sanal Gerçeklik Danışmanı
Virtual Reality Designer,Sanal Gerçeklik Tasarımcısı
Virtual Reality Development Intern,Sanal Gerçeklik Geliştirme Stajyeri
Virtual Reality Hardware Engineer,Sanal Gerçeklik Donanım Mühendisi
Virtual Reality Researcher,Sanal Gerçeklik Araştırmacısı
Virtual Reality Software Engineer,Sanal Gerçeklik Yazılım Mühendisi
Virtual Reality Specialist,Sanal Gerçeklik Uzmanı
Virtualisation Engineer,Sanallaştırma Mühendisi
Visa Consultant,Vize Danışmanı
Visiting Fellow,Ziyaretçi Araştırmacı
Visiting Research Fellow,Ziyaretçi Araştırma Görevlisi
Visiting Researcher,Ziyaretçi Araştırmacı
Visual Artist,Görsel Sanatçı
Visual Basic Developer,Visual Basic Geliştiricisi
Visual Designer,Görsel Tasarımcı
Visual Effects Artist,Görsel Efekt Sanatçısı
Visual Effects Coordinator,Görsel Efekt Koordinatörü
Visual Effects Producer,Görsel Efekt Üreticisi
Visual Effects Specialist,Görsel Efekt Uzmanı
Visual Effects Supervisor,Görsel Efekt Sorumlusu
Visual Merchandiser,Görsel Pazarlamacı
Visual Merchandising Associate,Görsel Pazarlama Asistanı
Visual Merchandising Executive,Görsel Pazarlama Yöneticisi
Visualiser,
Vlogger,Vlogcu
Vmware Consultant,VMware Danışmanı
Vmware Engineer,VMware Mühendisi
VoIP Technician,VoIP Teknisyeni
Vocational Specialist,Mesleki Uzman
Vocational Training Officer,Mesleki Eğitim Görevlisi
Voice Over Artist,Seslendirme Sanatçısı
Voip Engineer,VoIP Mühendisi
Volleyball Coach,Voleybol Antrenörü
Volunteer,Gönüllü
Volunteer Assistant,Gönüllü Asistan
Volunteer Research Assistant,Gönüllü Araştırma Asistanı
Volunteer Staff,Gönüllü Personel
Voucher Examiner,Fiş İnceleyicisi
Vulcanizer,Vulkanizör
WFM Analyst,İşgücü Yönetim Analisti
Waitress,Garson
Waitstaff,Garson
Walker,Yürüyüşçü
Warden,Müdür
Warehouse Administration Officer,Depo Yönetim Görevlisi
Warehouse Administrator,Depo Yöneticisi
Warehouse And Logistics Coordinator,Depo ve Lojistik Koordinatörü
Warehouse And Logistics Executive,Depo ve Lojistik Yöneticisi
Warehouse And Logistics Manager,Depo ve Lojistik Müdürü
Warehouse Assistant,Depo Asistanı
Warehouse Associate,Depo Çalışanı
Warehouse Checker,Depo Kontrolörü
Warehouse Clerk,Depo Memuru
Warehouse Coordinator,Depo Koordinatörü
Warehouse Executive,Depo Yöneticisi
Warehouse Helper,Depo Yardımcısı
Warehouse Keeper,Depo Sorumlusu
Warehouse Laborer,Depo İşçisi
Warehouse Manager,Depo Müdürü
Warehouse Officer,Depo Görevlisi
Warehouse Operations Executive,Depo Operasyonları Yöneticisi
Warehouse Operations Manager,Depo Operasyonları Müdürü
Warehouse Operator,Depo Operatörü
Warehouse Packer,Depo Paketleyicisi
Warehouse Picker,Depo Hazırlayıcısı
Warehouse Specialist,Depo Uzmanı
Warehouse Staff,Depo Personeli
Warehouse Storeperson,Depo Depolama Sorumlusu
Warehouse Supervisor,Depo Şefi
Warehouse Team Leader,Depo Ekip Lideri
Warehouse Technician,Depo Teknisyeni
Warehouse Worker,Depo Çalışanı
Warehousing Assistant,Depo Asistanı
Warranty Administrator,Garanti Yönetici
Warranty Engineer,Garanti Mühendisi
Warranty Executive,Garanti Sorumlusu
Wastewater Technician,Atıksu Teknisyeni
Wastewater Treatment Plant Executive,Atıksu Arıtma Tesisi Sorumlusu
Water Aerobics Instructor,Su Aerobik Eğitmeni
Water And Wastewater Engineer,Su ve Atıksu Mühendisi
Water Engineer,Su Mühendisi
Water Manager,Su Kaynakları Müdürü
Waterproofing Supervisor,Su Yalıtım Denetçisi
Wealth Adviser,Servet Danışmanı
Wealth Consultant,Servet Danışmanı
Wealth Management Analyst,Servet Yönetim Analisti
Wealth Planner,Servet Planlamacısı
Web Application Developer,Web Uygulaması Geliştiricisi
Web Applications Developer,Web Uygulamaları Geliştiricisi
Web Builder,Web Geliştiricisi
Web Content Role,
Web Content Writer,Web İçerik Yazarı
Web Design Specialist,Web Tasarım Uzmanı
Web Designer,Web Tasarımcısı
Web Designing,Web Tasarımı
Web Developer,Web Geliştiricisi
Web Project Manager,Web Proje Yöneticisi
Web Specialist,Web Uzmanı
Web User Interface Developer,Web Kullanıcı Arayüzü Geliştiricisi
Webdesigner,Web Tasarımcısı
Webmaster,Web Yöneticisi
Website Administrator,Web Sitesı Yöneticisi
Website Designer,Web Sitesı Tasarımcısı
Website Developer,Web Sitesı Geliştiricisi
Wedding Planner,Düğün Planlamacısı
Welder,Kaynakçı
Welding Engineer,Kaynak Mühendisi
Welding Inspector,Kaynak Denetçisi
Welding Technician,Kaynak Teknisyeni
Welfare Assistant,Refah Asistanı
Wellness Specialist,Sağlık ve Refah Uzmanı
Wholesale Account Executive,Toptan Satış Hesap Yöneticisi
Wholesale Account Manager,Toptan Satış Hesap Müdürü
Wholesale Coordinator,Toptan Satış Koordinatörü
Wholesale Director,Toptan Satış Direktörü
Wholesale Manager,Toptan Satış Müdürü
Wholesale Parts Salesperson,Toptan Yedek Parça Satış Elemanı
Wholesale Representative,Toptan Satış Temsilcisi
Wholesale Sales Manager,Toptan Satış Müdürü
Wholesale Sales Specialist,Toptan Satış Uzmanı
Wholesaler,Toptancı
Whs Coordinator_2,
Window Dresser,Vitrin Düzenleyici
Windows Engineer,Windows Mühendisi
Windows Specialist,Windows Uzmanı
Windows System Administrator,Windows Sistem Yöneticisi
Wine Ambassador,Şarap Elçisi
Wine Consultant,Şarap Danışmanı
Wine Manager,Şarap Yöneticisi
Wine Specialist,Şarap Uzmanı
Winemaker,Şarap Üreticisi
Wintel Engineer,Wintel Mühendisi
Wintel Support Engineer,Wintel Destek Mühendisi
Wintel Systems Engineer,Wintel Sistem Mühendisi
Winter Intern,Kış Stajyerı
Wireless Consultant,Kablosuz Danışman
Wireless Engineer,Kablosuz Mühendis
Wireless Specialist,Kablosuz Uzman
Wireline Operator,Hat Operatörü
Wireman,Elektrikçi
Women's Health Nurse Practitioner,Kadın Sağlığı Hemşiresi
Woocommerce Developer,Woocommerce Geliştiricisi
Wordpress Software Developer,Wordpress Yazılım Geliştiricisi
Work Health And Safety Officer,İş Sağlığı ve Güvenliği Görevlisi
Work Package Manager,İş Paketi Yöneticisi
Work Supervisor,İş Denetçisi
Workday Human Capital Management Consultant,Workday İnsan Sermayesi Yönetimi Danışmanı
Workday Specialist,Workday Uzmanı
Worker,İşçi
Workers Compensation,İşçi Tazminatı
Workforce Management Analyst,İşgücü Yönetimi Analisti
Workforce Management Manager,İşgücü Yönetimi Yöneticisi
Workforce Planner,İşgücü Planlamacısı
Workplace Consultant,Çalışma Ortamı Danışmanı
Workplace Coordinator,Çalışma Ortamı Koordinatörü
Workplace Specialist,Çalışma Ortamı Uzmanı
Works Manager,İşletme Müdürü
Workshop Controller,Atölye Kontrolörü
Workshop Executive,Atölye Yöneticisi
Workshop Foreman,Atölye Usta Öğreticisi
Workshop Manager,Atölye Yöneticisi
Workshop Planner,Atölye Planlamacısı
Workshop Supervisor,Atölye Denetçisi
Workshop Technician,Atölye Teknisyeni
Wound Care Licensed Practical Nurse,Yara Bakımı Lisanslı Uygulamalı Hemşire
"Wound, Ostomy, and Continence Nurse","Yara, Ostomi ve Kontinans Hemşiresi"
Writer,Yazar
Writing Specialist,Yazma Uzmanı
Writing Tutor,Yazma Eğitmeni
Xamarin Developer,Xamarin Geliştiricisi
Xamarin Software Developer,Xamarin Yazılım Geliştiricisi
Xray Technician,Röntgen Teknisyeni
Xray Technologist,Röntgen Teknologu
Yacht Broker,Yat Brokeri
Yacht Captain,Yat Kaptanı
Yahoo,
Yard Driver,Avlu Sürücüsü
Yard Manager,Avlu Müdürü
Yard Supervisor,Avlu Şefi
Yardhand,Avlu İşçisi
Year Student,
Yield Engineer,Verim Mühendisi
Yield Manager,Verim Yöneticisi
Yoga Instructor,Yoga Eğitmeni
Yoga Teacher,Yoga Öğretmeni
Young Researcher,
Youth Advisor,
Youth Advocate,
Youth Care Worker,
Youth Coordinator,
Youth Counselor,
Youth Development Specialist,
Youth Director,
Youth Intern,
Youth Lead,
Youth Minister,
Youth Pastor,
Youth Program Coordinator,
Youth Services Librarian,
Youth Specialist,
Youth Worker,
Zonal Business Manager,
Zonal Head,
Zonal Manager,
Zonal Sales Manager,
Zone Director,
Zone Manager,
Zone Operations Manager,
Zone Sales Lead,
Zone Sales Manager,
Zone Vice President,
Zoning Administrator,
Zookeeper,
Zoologist,
Zumba Instructor,
abinitio developer,
iOS App Developer,
iOS Developer,
iOS Engineer,
